address,coordinates,fax,google_maps_url,id,latitude,longitude,object_id,opening_date,phone,target,waze_url,whatsapp_number,whatsapp_url,working_hours
"M.Hadi küç., 29/45 ev 66, Bakı
AZ1123, Azərbaycan","40.374424,49.953167",(+994 12) 379 37 05,"https://www.google.com/maps/?q=40.374424,49.953167",detail130,40.374424,49.953167,130,18.06.2013,151,detail130,"https://waze.com/ul?ll=40.374424,49.953167",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"Ş.Məmmədova küç., 91, Bakı 
AZ1130, Azərbaycan","40.424258033839,49.842556948165",(+994 12) 562 77 48,"https://www.google.com/maps/?q=40.424258033839,49.842556948165",detail131,40.424258033839,49.842556948165,131,26.12.2011,151,detail131,"https://waze.com/ul?ll=40.424258033839,49.842556948165",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"Lökbatan qəsəbəsi, N.Nərimanov küç., 2C, Bakı 
AZ1063, Azərbaycan","40.320572,49.728274",(+994 12) 445 95 12,"https://www.google.com/maps/?q=40.320572,49.728274",detail132,40.320572,49.728274,132,30.12.2003,151,detail132,"https://waze.com/ul?ll=40.320572,49.728274",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"Təbriz küçəsi 94, Bakı 
AZ1072, Azərbaycan","40.401684,49.868749",(+994 12) 567 48 97,"https://www.google.com/maps/?q=40.401684,49.868749",detail133,40.401684,49.868749,133,26.09.2009,151,detail133,"https://waze.com/ul?ll=40.401684,49.868749",994554400151,https://wa.me/994554400151,"Bazar ertəsi-Cümə: 09:00-18:00, Şənbə: 10:00-16:00KassaBazar ertəsi-Cümə: 09:00–17:00Şənbə: 10:00–15:00"
"Nizami küçəsi 100B, Bakı 
AZ1000, Azərbaycan","40.377502630476,49.856264425574",(+994 12) 498 94 13,"https://www.google.com/maps/?q=40.377502630476,49.856264425574",detail134,40.377502630476,49.856264425574,134,06.03.2007,151,detail134,"https://waze.com/ul?ll=40.377502630476,49.856264425574",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"Nizami rayonu, M.A.Abbaszadə küç., 13-15-17, Gəncə, 
AZ2000, Azərbaycan","40.67315,46.356432",(+994 22) 266 62 91,"https://www.google.com/maps/?q=40.67315,46.356432",detail135,40.67315,46.356432,135,15.07.2005,151,detail135,"https://waze.com/ul?ll=40.67315,46.356432",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"M.F.Axundov  küç., 8, Şəki,
AZ5500, Azərbaycan","41.169991,47.166674",(+994 24) 244 72 33,"https://www.google.com/maps/?q=41.169991,47.166674",detail136,41.169991,47.166674,136,29.12.2005,151,detail136,"https://waze.com/ul?ll=41.169991,47.166674",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"Həzi Aslanov küç., 24, Şəmkir
AZ5700, Azərbaycan","40.83062484614,46.021995219146",,"https://www.google.com/maps/?q=40.83062484614,46.021995219146",detail76686,40.83062484614,46.021995219146,76686,16.11.2021,151,detail76686,"https://waze.com/ul?ll=40.83062484614,46.021995219146",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"H.Aslanov xiyabanı, Lənkəran, 
AZ4200, Azərbaycan","38.752693,48.850306",(+994 25) 255 48 95,"https://www.google.com/maps/?q=38.752693,48.850306",detail137,38.752693,48.850306,137,27.06.2006,151,detail137,"https://waze.com/ul?ll=38.752693,48.850306",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"Goranboy şəhəri, 16-cı kvartal, S.Civəzadə küç, 37
AZ2200, Azərbaycan","40.601600646973,46.778533935547",,"https://www.google.com/maps/?q=40.601600646973,46.778533935547",detail1011212,40.601600646973,46.778533935547,1011212,29.04.2024,151,detail1011212,"https://waze.com/ul?ll=40.601600646973,46.778533935547",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"H.Əliyev pr., Qazax
AZ3500, Azərbaycan","41.090578,45.361069",(+994 22) 295 06 77,"https://www.google.com/maps/?q=41.090578,45.361069",detail139,41.090578,45.361069,139,05.03.2008,151,detail139,"https://waze.com/ul?ll=41.090578,45.361069",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"Ü.Hacıbəyov küç., 98A, Mingəçevir,
AZ4500, Azərbaycan","40.7714,47.043506",(+994 24) 274 97 25,"https://www.google.com/maps/?q=40.7714,47.043506",detail140,40.7714,47.043506,140,27.05.2008,151,detail140,"https://waze.com/ul?ll=40.7714,47.043506",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"H.Əliyev pr., Cəlilabad, 
AZ1500, Azərbaycan","39.21518,48.523298",(+994 25) 245 43 04,"https://www.google.com/maps/?q=39.21518,48.523298",detail141,39.21518,48.523298,141,30.12.2008,151,detail141,"https://waze.com/ul?ll=39.21518,48.523298",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"H.Əliyev pr., 96, Göyçay, 
AZ2300, Azərbaycan","40.650749,47.739346",(+994 20) 274 61 45,"https://www.google.com/maps/?q=40.650749,47.739346",detail142,40.650749,47.739346,142,09.06.2010,151,detail142,"https://waze.com/ul?ll=40.650749,47.739346",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"F.Əmirov 29/1, Zaqatala, 
AZ6205, Azərbaycan","41.628987,46.634545",(+994 24) 225 45 22,"https://www.google.com/maps/?q=41.628987,46.634545",detail143,41.628987,46.634545,143,10.10.2008,151,detail143,"https://waze.com/ul?ll=41.628987,46.634545",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"Y.Qasımov küc.2, Salyan,
AZ5200, Azərbaycan","39.589599,48.974846",(+994 21) 255 55 92,"https://www.google.com/maps/?q=39.589599,48.974846",detail144,39.589599,48.974846,144,06.02.2009,151,detail144,"https://waze.com/ul?ll=39.589599,48.974846",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"İ.Qayıbov küç., 8A, Bərdə,
AZ0900, Azərbaycan","40.384677,47.12562",(+994 20) 205 65 38,"https://www.google.com/maps/?q=40.384677,47.12562",detail145,40.384677,47.12562,145,08.09.2010,151,detail145,"https://waze.com/ul?ll=40.384677,47.12562",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"H. Əliyev pr., 100, İsmayıllı
AZ3100, Azərbaycan","40.790117,48.153693",(+994 20) 285 17 56,"https://www.google.com/maps/?q=40.790117,48.153693",detail146,40.790117,48.153693,146,21.02.2013,151,detail146,"https://waze.com/ul?ll=40.790117,48.153693",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"H.Əliyev küç.35, Sabirabad
AZ5400, Azərbaycan","40.004967,48.470579",(+994 21) 235 83 36,"https://www.google.com/maps/?q=40.004967,48.470579",detail147,40.004967,48.470579,147,12.03.2013,151,detail147,"https://waze.com/ul?ll=40.004967,48.470579",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"H.Əliyev pr. Balakən,
AZ0814 , Azərbaycan","41.705227,46.42614",,"https://www.google.com/maps/?q=41.705227,46.42614",detail1997875,41.705227,46.42614,1997875,02.05.2025,151,detail1997875,"https://waze.com/ul?ll=41.705227,46.42614",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"Masallı şəhəri, M.Talışxanov küçəsi
AZ4400, Azərbaycan","39.027458190918,48.664562225342",,"https://www.google.com/maps/?q=39.027458190918,48.664562225342",detail926350,39.027458190918,48.664562225342,926350,15.04.2024,151,detail926350,"https://waze.com/ul?ll=39.027458190918,48.664562225342",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
"Ağcabədi şəhəri, Həzi Aslanov küç 17","40.039993790212,47.452792937654",,"https://www.google.com/maps/?q=40.039993790212,47.452792937654",detail414976,40.039993790212,47.452792937654,414976,07.09.2023,151,detail414976,"https://waze.com/ul?ll=40.039993790212,47.452792937654",994554400151,https://wa.me/994554400151,Bazar ertəsi-Cümə: 09:00-18:00KassaBazar ertəsi-Cümə: 09:00–17:00
